exp:x/lambda	exp:y/lambda	exp:z/lambda	theory:x/lambda	theory:y/lambda	theory:z/lambda
-1.044016892	0.000997703	0.031064989	-2.921973207	-1.19E-06	0.033333445
-1.03752269	0.002148325	0.030846004	-2.912679885	-1.21E-06	0.033333447
-1.031463183	0.001319658	0.030726217	-2.903386563	-1.24E-06	0.033333449
-1.02133111	0.00153711	0.03112435	-2.894093242	-1.26E-06	0.033333451
-1.012891543	0.002761053	0.031455977	-2.884799921	-1.28E-06	0.033333454
-1.005356705	-0.000575002	0.031833504	-2.8755066	-1.30E-06	0.033333456
-0.997153998	0.000635835	0.032486503	-2.86621328	-1.32E-06	0.033333459
-0.986983868	-5.84081E-05	0.033296124	-2.85691996	-1.35E-06	0.033333461
-0.979026295	0.001649146	0.034431529	-2.847626641	-1.37E-06	0.033333464
-0.973821554	0.001023153	0.035234198	-2.838333322	-1.40E-06	0.033333466
-0.964588449	0.001097496	0.036658116	-2.829040003	-1.42E-06	0.033333469
-0.956871196	0.000680078	0.03600438	-2.819746685	-1.44E-06	0.033333471
-0.947407171	0.000158638	0.032638462	-2.810453368	-1.47E-06	0.033333474
-0.937551729	7.72613E-05	0.030206501	-2.80116005	-1.50E-06	0.033333477
-0.930079548	0.000892129	0.031551363	-2.791866734	-1.52E-06	0.03333348
-0.922065591	0.000637882	0.032993736	-2.782573417	-1.55E-06	0.033333483
-0.913228693	0.001046101	0.034443175	-2.773280102	-1.57E-06	0.033333485
-0.906872973	0.000898695	0.034376292	-2.763986786	-1.60E-06	0.033333488
-0.898902196	0.001054615	0.034292413	-2.754693472	-1.63E-06	0.033333492
-0.890245104	-0.000800109	0.034201312	-2.745400157	-1.66E-06	0.033333495
-0.880424578	0.001533955	0.033717253	-2.736106844	-1.69E-06	0.033333498
-0.874894842	-0.000410373	0.033250416	-2.72681353	-1.71E-06	0.033333501
-0.863129739	0.001012213	0.032253791	-2.717520218	-1.74E-06	0.033333504
-0.858170897	0.000664168	0.031778589	-2.708226905	-1.77E-06	0.033333508
-0.848434255	0.002343286	0.030845534	-2.698933594	-1.80E-06	0.033333511
-0.841075931	0.001874908	0.030140391	-2.689640283	-1.84E-06	0.033333515
-0.834547601	0.002224942	0.029632991	-2.680346972	-1.87E-06	0.033333518
-0.82409222	0.002041065	0.028999276	-2.671053663	-1.90E-06	0.033333522
-0.816606116	-0.000722552	0.028545533	-2.661760353	-1.93E-06	0.033333525
-0.807540926	-0.00029826	0.029003093	-2.652467045	-1.97E-06	0.033333529
-0.800681538	-0.000514854	0.029581218	-2.643173737	-2.00E-06	0.033333533
-0.790819559	0.000232006	0.030377784	-2.633880429	-2.03E-06	0.033333537
-0.783829594	0.001735043	0.030407955	-2.624587123	-2.07E-06	0.033333541
-0.777333074	0.001808518	0.030435997	-2.615293817	-2.10E-06	0.033333545
-0.768733309	-0.000833208	0.030473117	-2.606000511	-2.14E-06	0.033333549
-0.759086752	0.001113882	0.031199339	-2.596707207	-2.18E-06	0.033333554
-0.751822963	-0.000140326	0.032102439	-2.587413903	-2.21E-06	0.033333558
-0.742731561	-0.00016123	0.033226412	-2.578120599	-2.25E-06	0.033333562
-0.735980393	0.000264978	0.033498733	-2.568827297	-2.29E-06	0.033333567
-0.726506329	0.000472667	0.033880886	-2.559533995	-2.33E-06	0.033333571
-0.719807332	6.05772E-05	0.034151103	-2.550240694	-2.37E-06	0.033333576
-0.708532775	0.002131325	0.034032163	-2.540947394	-2.41E-06	0.033333581
-0.701841366	-0.001627767	0.033772684	-2.531654095	-2.45E-06	0.033333586
-0.691740388	0.001926435	0.033239207	-2.522360796	-2.49E-06	0.033333591
-0.683890196	0.000719573	0.032529096	-2.513067498	-2.54E-06	0.033333596
-0.676401089	0.001807434	0.031851649	-2.503774202	-2.58E-06	0.033333601
-0.669640815	0.002400852	0.03124013	-2.494480906	-2.62E-06	0.033333607
-0.659978549	0.001029653	0.03069352	-2.48518761	-2.67E-06	0.033333612
-0.651101319	0.001251962	0.030281267	-2.475894316	-2.71E-06	0.033333618
-0.644748593	0.001609858	0.029999814	-2.466601023	-2.76E-06	0.033333623
-0.635743767	0.000567386	0.029881912	-2.457307731	-2.81E-06	0.033333629
-0.628600384	-0.000279692	0.029788382	-2.448014439	-2.86E-06	0.033333635
-0.622228184	2.24743E-05	0.02970495	-2.438721149	-2.91E-06	0.033333641
-0.60917896	-0.000309982	0.030974986	-2.429427859	-2.96E-06	0.033333647
-0.602806988	0.000627317	0.031903476	-2.420134571	-3.01E-06	0.033333654
-0.596715772	0.001234408	0.032783038	-2.410841284	-3.06E-06	0.03333366
-0.58739501	0.0019301	0.031701789	-2.401547997	-3.11E-06	0.033333667
-0.579886267	0.00019671	0.030830742	-2.392254712	-3.17E-06	0.033333673
-0.570599339	0.000478736	0.03045967	-2.382961428	-3.22E-06	0.03333368
-0.563034347	0.001279774	0.031180127	-2.373668145	-3.28E-06	0.033333687
-0.554135513	0.000946277	0.032027613	-2.364374864	-3.33E-06	0.033333695
-0.546198542	-0.000422595	0.03274405	-2.355081583	-3.39E-06	0.033333702
-0.537534267	0.001276641	0.033456259	-2.345788304	-3.45E-06	0.03333371
-0.530394073	0.002426694	0.034043187	-2.336495026	-3.51E-06	0.033333717
-0.522782321	0.000214273	0.034179484	-2.327201749	-3.57E-06	0.033333725
-0.512589054	0.000785803	0.033513238	-2.317908473	-3.63E-06	0.033333733
-0.503577207	0.001043997	0.03292421	-2.308615199	-3.70E-06	0.033333741
-0.497891111	0.00135183	0.032844031	-2.299321926	-3.76E-06	0.03333375
-0.487568312	0.000660957	0.032816521	-2.290028655	-3.83E-06	0.033333758
-0.47995885	0.00123412	0.032796241	-2.280735385	-3.90E-06	0.033333767
-0.472560249	0.001593973	0.032605739	-2.271442116	-3.96E-06	0.033333776
-0.465176035	0.001006481	0.032156738	-2.262148849	-4.03E-06	0.033333785
-0.456764641	0.001155114	0.031645278	-2.252855584	-4.11E-06	0.033333795
-0.446913722	0.000104772	0.031161028	-2.24356232	-4.18E-06	0.033333804
-0.440225296	0.001228908	0.030877003	-2.234269057	-4.25E-06	0.033333814
-0.430339692	0.001706473	0.03045721	-2.224975797	-4.33E-06	0.033333824
-0.422992721	0.000709849	0.03037874	-2.215682538	-4.40E-06	0.033333835
-0.415105145	0.000839326	0.030314979	-2.20638928	-4.48E-06	0.033333845
-0.408405887	0.001068967	0.030260824	-2.197096024	-4.56E-06	0.033333856
-0.399695207	0.001159597	0.030383753	-2.18780277	-4.64E-06	0.033333867
-0.392772106	0.002687474	0.031318112	-2.178509518	-4.73E-06	0.033333879
-0.382038107	0.000228158	0.032766798	-2.169216268	-4.81E-06	0.03333389
-0.373608647	0.001028733	0.033771686	-2.15992302	-4.90E-06	0.033333902
-0.365397261	0.002444072	0.034743902	-2.150629773	-4.99E-06	0.033333914
-0.358852705	0.000225143	0.035518768	-2.141336529	-5.08E-06	0.033333927
-0.350198731	0.000742586	0.036033337	-2.132043287	-5.17E-06	0.033333939
-0.340208926	0.001775395	0.036095196	-2.122750046	-5.26E-06	0.033333953
-0.333916278	0.000927758	0.036134161	-2.113456808	-5.36E-06	0.033333966
-0.324969919	0.002030208	0.034968608	-2.104163572	-5.45E-06	0.03333398
-0.317096419	-0.001888225	0.033375863	-2.094870338	-5.55E-06	0.033333994
-0.308480162	0.002162489	0.031982272	-2.085577107	-5.65E-06	0.033334008
-0.301924257	0.001490174	0.032841639	-2.076283878	-5.76E-06	0.033334023
-0.291902392	0.001006736	0.034155333	-2.066990651	-5.86E-06	0.033334038
-0.283583422	0.00362443	0.035245808	-2.057697427	-5.97E-06	0.033334053
-0.27631846	-7.67551E-05	0.034845207	-2.048404205	-6.08E-06	0.033334069
-0.269931897	0.001285421	0.034475324	-2.039110986	-6.19E-06	0.033334086
-0.260817227	1.93716E-05	0.03394744	-2.029817769	-6.31E-06	0.033334102
-0.252533725	-0.000554025	0.033123791	-2.020524556	-6.42E-06	0.033334119
-0.244177684	0.001428139	0.032213874	-2.011231345	-6.54E-06	0.033334137
-0.236336727	0.000162704	0.031360046	-2.001938136	-6.66E-06	0.033334155
-0.227977633	0.000449929	0.031253034	-1.992644931	-6.79E-06	0.033334173
-0.219561351	0.000293836	0.031272341	-1.983351729	-6.92E-06	0.033334192
-0.210752229	0.000585989	0.031416776	-1.97405853	-7.04E-06	0.033334212
-0.205562773	0.002351352	0.031881116	-1.964765334	-7.18E-06	0.033334232
-0.195223934	0.002655342	0.032806209	-1.955472141	-7.31E-06	0.033334252
-0.186593449	-0.000323039	0.033700301	-1.946178951	-7.45E-06	0.033334273
-0.17889575	0.001943755	0.035016708	-1.936885765	-7.59E-06	0.033334294
-0.170266928	-0.000522975	0.03649235	-1.927592582	-7.74E-06	0.033334316
-0.164599531	-0.000816906	0.037437524	-1.918299403	-7.88E-06	0.033334339
-0.153445066	-0.000638013	0.036565945	-1.909006228	-8.03E-06	0.033334362
-0.146788868	-0.00169523	0.036045848	-1.899713056	-8.19E-06	0.033334386
-0.138315428	-0.000525731	0.035489737	-1.890419888	-8.35E-06	0.033334411
-0.129632724	0.000215548	0.035764959	-1.881126724	-8.51E-06	0.033334436
-0.122455608	-2.27533E-05	0.035992458	-1.871833564	-8.67E-06	0.033334462
-0.115431823	0.000619924	0.035900239	-1.862540409	-8.84E-06	0.033334488
-0.107000179	0.00193651	0.034598872	-1.853247257	-9.01E-06	0.033334515
-0.099837025	0.000160338	0.033493287	-1.84395411	-9.19E-06	0.033334543
-0.090955671	0.002116778	0.032542165	-1.834660967	-9.36E-06	0.033334572
-0.081945897	-0.000429638	0.03403309	-1.825367829	-9.55E-06	0.033334601
-0.072228593	-4.20E-06	0.035641096	-1.816074696	-9.74E-06	0.033334632
-0.065345037	-0.000219368	0.035947816	-1.806781567	-9.93E-06	0.033334663
-0.056291222	-0.000842905	0.036236752	-1.797488444	-1.01E-05	0.033334695
-0.05009031	0.001589011	0.036434643	-1.788195325	-1.03E-05	0.033334728
-0.040676227	-0.001694521	0.035640513	-1.778902212	-1.05E-05	0.033334762
-0.032715726	-0.000270623	0.034357085	-1.769609105	-1.07E-05	0.033334796
-0.025476254	6.29452E-05	0.033189906	-1.760316002	-1.10E-05	0.033334832
-0.01773213	-0.000415208	0.032270007	-1.751022906	-1.12E-05	0.033334869
-0.011186626	-0.002474643	0.032973259	-1.741729815	-1.14E-05	0.033334907
-0.000187677	-0.001098451	0.034154992	-1.73243673	-1.16E-05	0.033334946
0.009015824	-0.002005924	0.035321822	-1.723143652	-1.19E-05	0.033334985
0.014076432	-0.001495288	0.036138273	-1.71385058	-1.21E-05	0.033335027
0.023778112	-0.001211824	0.037703487	-1.704557514	-1.24E-05	0.033335069
0.029730402	-0.000229313	0.037357643	-1.695264455	-1.26E-05	0.033335112
0.037923834	-0.001480672	0.035861894	-1.685971403	-1.29E-05	0.033335157
0.047796666	-0.001713611	0.034059564	-1.676678358	-1.31E-05	0.033335203
0.052888663	-0.00043502	0.034721904	-1.66738532	-1.34E-05	0.033335251
0.060376195	-0.001112498	0.036414031	-1.65809229	-1.37E-05	0.0333353
0.074004506	-0.001426087	0.03949393	-1.648799267	-1.40E-05	0.03333535
0.079305003	-0.000160192	0.039386458	-1.639506253	-1.43E-05	0.033335402
0.086880283	-0.001802942	0.038639028	-1.630213246	-1.46E-05	0.033335455
0.096507492	-0.001228893	0.03768914	-1.620920248	-1.49E-05	0.03333551
0.103558294	-0.002666126	0.037374601	-1.611627259	-1.52E-05	0.033335567
0.110727774	0.000185239	0.037116259	-1.602334278	-1.55E-05	0.033335625
0.121414784	0.000801974	0.036731167	-1.593041307	-1.58E-05	0.033335685
0.128276633	-0.000957972	0.036961957	-1.583748344	-1.62E-05	0.033335747
0.136037782	-8.93112E-05	0.037413014	-1.574455392	-1.65E-05	0.033335811
0.144395325	-0.001235297	0.037898732	-1.56516245	-1.69E-05	0.033335877
0.150771051	-0.001595726	0.03847736	-1.555869517	-1.72E-05	0.033335945
0.16159546	-0.000538407	0.039812161	-1.546576596	-1.76E-05	0.033336015
0.170027189	0.000540608	0.040851911	-1.537283685	-1.80E-05	0.033336087
