exp: x/lambda	exp: y/lambda	theory: x/lambda	theory: y/lambda
-0.478213635	0.001718247	-2.599965362	-2.43E-06
-0.478479183	0.00532383	-2.59110441	-2.46E-06
-0.464899604	-0.001142411	-2.582243458	-2.50E-06
-0.456622126	0.000736605	-2.573382506	-2.54E-06
-0.452879082	-6.03E-05	-2.564521556	-2.58E-06
-0.443735344	0.000770342	-2.555660606	-2.63E-06
-0.435801523	0.003564516	-2.546799657	-2.67E-06
-0.42689222	-0.005045317	-2.537938709	-2.71E-06
-0.418193242	0.003751746	-2.529077761	-2.75E-06
-0.418905188	-0.003137031	-2.520216814	-2.80E-06
-0.405467177	0.002851356	-2.511355868	-2.84E-06
-0.397158565	0.002359936	-2.502494923	-2.89E-06
-0.392193562	-0.000166865	-2.493633979	-2.93E-06
-0.386332122	0.001285119	-2.484773036	-2.98E-06
-0.376115396	-0.002324039	-2.475912093	-3.03E-06
-0.373016118	0.002373269	-2.467051151	-3.08E-06
-0.363124631	-0.002174129	-2.458190211	-3.13E-06
-0.364766903	0.006923063	-2.449329271	-3.18E-06
-0.34364848	0.00103237	-2.440468332	-3.23E-06
-0.343677286	0.000724386	-2.431607394	-3.28E-06
-0.329102324	0.002130858	-2.422746457	-3.33E-06
-0.32724719	-0.000478625	-2.413885521	-3.39E-06
-0.318882601	-0.001252981	-2.405024586	-3.44E-06
-0.313301267	0.001743757	-2.396163652	-3.50E-06
-0.302210839	0.001471581	-2.387302719	-3.55E-06
-0.29608063	0.004260831	-2.378441787	-3.61E-06
-0.284188667	-0.004757946	-2.369580857	-3.67E-06
-0.282430899	0.003285388	-2.360719927	-3.73E-06
-0.272781563	0.000786171	-2.351858999	-3.79E-06
-0.259008611	-0.006015926	-2.342998072	-3.85E-06
-0.260404741	0.001250302	-2.334137146	-3.91E-06
-0.250707857	-0.000496263	-2.325276221	-3.98E-06
-0.239883839	0.001811585	-2.316415297	-4.04E-06
-0.233525456	-0.001561588	-2.307554375	-4.11E-06
-0.22554597	0.000139827	-2.298693454	-4.17E-06
-0.224728853	0.001343701	-2.289832534	-4.24E-06
-0.21283689	-0.004571147	-2.280971616	-4.31E-06
-0.206890909	-0.00185183	-2.272110699	-4.38E-06
-0.200712266	-0.002733766	-2.263249784	-4.45E-06
-0.194039075	0.006907285	-2.254388869	-4.53E-06
-0.180326767	0.001459946	-2.245527957	-4.60E-06
-0.178257576	-0.000656763	-2.236667046	-4.68E-06
-0.17403088	-0.001590208	-2.227806136	-4.76E-06
-0.157881237	0.001936304	-2.218945228	-4.83E-06
-0.151125433	-0.000178332	-2.210084322	-4.91E-06
-0.151490538	-0.003735311	-2.201223417	-5.00E-06
-0.14288657	-0.006480479	-2.192362514	-5.08E-06
-0.134987221	-0.000929095	-2.183501613	-5.16E-06
-0.129593151	-0.004353215	-2.174640713	-5.25E-06
-0.120822984	-0.010276236	-2.165779815	-5.34E-06
-0.099863244	0.007616581	-2.156918919	-5.43E-06
-0.103002406	-0.001396996	-2.148058025	-5.52E-06
-0.100810293	0.000600618	-2.139197133	-5.61E-06
-0.090966311	0.000682077	-2.130336243	-5.71E-06
-0.086458367	-0.00815938	-2.121475355	-5.80E-06
-0.081859111	-0.000390017	-2.112614469	-5.90E-06
