exp: x/lambda	exp: y/lambda	exp: z/lambda	theory: x/lambda	theory: y/lambda	theory: z/lambda
-0.273749396	-0.000668043	0.032780168	-2.029815216	-4.15E-06	0.033333837
-0.265450559	0.000595728	0.033191005	-2.020521956	-4.23E-06	0.033333848
-0.256237191	0.000429342	0.033663494	-2.011228697	-4.31E-06	0.033333859
-0.249934567	0.001324193	0.032429212	-2.001935441	-4.39E-06	0.033333871
-0.240000487	-0.000799157	0.030483758	-1.992642187	-4.47E-06	0.033333883
-0.23321246	0.000457205	0.029638775	-1.983348934	-4.55E-06	0.033333895
-0.223944153	-0.000498045	0.029592434	-1.974055684	-4.64E-06	0.033333908
-0.216473308	-0.001149494	0.03018841	-1.964762433	-4.72E-06	0.033333921
-0.209014899	-0.001503755	0.031188718	-1.955469188	-4.81E-06	0.033333934
-0.200594397	-0.000517215	0.031712696	-1.946175942	-4.90E-06	0.033333948
-0.192537199	-0.001600459	0.031893722	-1.936882703	-5.00E-06	0.033333962
-0.185050268	-0.00026709	0.031852649	-1.927589465	-5.09E-06	0.033333976
-0.177084906	0.000719439	0.031518853	-1.918296231	-5.19E-06	0.033333991
-0.168165058	-0.00112741	0.029960159	-1.909002998	-5.29E-06	0.033334007
-0.160088344	0.000749128	0.028443983	-1.899709767	-5.39E-06	0.033334022
-0.151038555	-0.000958678	0.029938691	-1.890416538	-5.50E-06	0.033334038
-0.142818078	-0.00076173	0.032649936	-1.881123312	-5.60E-06	0.033334055
-0.136802681	-0.000975524	0.033419963	-1.871830089	-5.71E-06	0.033334071
-0.127917493	0.000453989	0.033354302	-1.862536863	-5.82E-06	0.033334088
-0.121978615	-0.001140031	0.03287041	-1.853243646	-5.93E-06	0.033334106
-0.110654946	-0.001250121	0.031379657	-1.843950427	-6.04E-06	0.033334124
-0.104711166	-0.002925382	0.030522067	-1.834657214	-6.16E-06	0.033334143
-0.09446723	-0.001888958	0.029044035	-1.825364002	-6.28E-06	0.033334162
-0.086596905	-0.000239095	0.031601306	-1.816070796	-6.40E-06	0.033334182
-0.079859867	0.000540295	0.034104119	-1.806777591	-6.53E-06	0.033334202
-0.070895984	-0.000440915	0.034059442	-1.79748439	-6.66E-06	0.033334223
-0.064030872	-0.001059293	0.032764897	-1.788191191	-6.79E-06	0.033334244
-0.056161446	-0.001085941	0.031641277	-1.778898	-6.93E-06	0.033334266
-0.048739218	-0.001487083	0.030873804	-1.769604808	-7.06E-06	0.033334289
-0.038937049	-0.001954594	0.031768482	-1.760311623	-7.20E-06	0.033334312
-0.031689608	-0.001202421	0.032690509	-1.751018439	-7.35E-06	0.033334336
-0.023139672	-2.99027E-05	0.031421946	-1.741725262	-7.50E-06	0.033334361
-0.015147603	-0.001863259	0.02982719	-1.732432086	-7.65E-06	0.033334386
-0.008074569	-0.000365332	0.030984478	-1.723138916	-7.81E-06	0.033334412
-0.002145943	0.00093626	0.032000576	-1.71384575	-7.96E-06	0.033334439
0.008188856	-0.000792594	0.03313626	-1.704552588	-8.13E-06	0.033334466
0.016409862	-0.002211437	0.033581585	-1.695259431	-8.29E-06	0.033334495
0.02414799	-0.00048999	0.034512291	-1.685966278	-8.46E-06	0.033334524
0.032902274	4.61545E-05	0.035762932	-1.676673131	-8.64E-06	0.033334554
0.041326454	-0.001673776	0.036110907	-1.667379987	-8.82E-06	0.033334585
0.049693075	-0.001195966	0.036443129	-1.658086847	-9.00E-06	0.033334616
0.056915877	-0.000973406	0.035473723	-1.648793711	-9.18E-06	0.033334649
0.066100842	-0.00175793	0.032577	-1.639500586	-9.38E-06	0.033334683
0.075584478	-0.001423368	0.034048609	-1.630207457	-9.57E-06	0.033334717
0.080772132	-0.000686464	0.035710017	-1.620914342	-9.77E-06	0.033334753
0.089565239	-1.25E-05	0.036518497	-1.61162122	-9.97E-06	0.033334789
0.096975262	-0.001416947	0.037100556	-1.602328112	-1.02E-05	0.033334826
0.10662348	-0.000434518	0.036495594	-1.593035002	-1.04E-05	0.033334864
0.113500791	-0.001840165	0.035799536	-1.583741909	-1.06E-05	0.033334905
0.123727617	-0.00051146	0.034775679	-1.57444881	-1.08E-05	0.033334945
0.131330341	-0.000632008	0.034016065	-1.565155731	-1.11E-05	0.033334988
0.137801397	0.00024158	0.034009829	-1.555862646	-1.13E-05	0.033335031
0.145381218	-0.000584692	0.034207694	-1.546569577	-1.15E-05	0.033335076
0.153367613	-0.000704517	0.03435033	-1.53727651	-1.18E-05	0.033335122
