exp: a=1.6 x/lambda	exp: a=1.6 y/lambda	exp: a=2.0 x/lambda	exp: a=2.0 y/lambda	theory: x/lambda	theory: y/lambda
1.017583779	-0.001060551	1.31656399	0.007237337	2.182786493	-0.003489729
1.02012044	-0.001096332	1.322388017	0.006671265	2.192304837	-0.003232437
1.024603831	-0.002110119	1.328075994	0.006996124	2.201831464	-0.002967629
1.029842455	-0.000826448	1.333428211	0.007133668	2.211365622	-0.002696246
1.034802898	-0.001134883	1.337775251	0.006876351	2.220906502	-0.002419243
1.03714242	-0.001498979	1.344645472	0.007294176	2.230453252	-0.002137593
1.039501225	-0.000861482	1.349077316	0.007646866	2.240004982	-0.001852278
1.045341346	-0.002779722	1.355326697	0.006806115	2.249560771	-0.001564292
1.051802222	-0.001318769	1.362768163	0.006595743	2.259119678	-0.001274635
1.054601494	-0.001109586	1.366999173	0.006817552	2.268680745	-0.000984314
1.059190876	-0.001473249	1.374470048	0.00638043	2.278243006	-0.000694334
1.06363093	-0.003009106	1.378756196	0.008167285	2.287805498	-0.000405703
1.069089989	-0.00222708	1.384639452	0.00653352	2.297367263	-0.000119424
1.071620373	-0.000882657	1.389738951	0.008031189	2.306927357	0.000163506
1.076293808	-0.002054292	1.395879118	0.006234437	2.316484861	0.000442096
1.083616882	-0.000914515	1.401194524	0.008845583	2.326038882	0.000715369
1.083787013	-0.001345231	1.406433964	0.007986115	2.335588568	0.000982361
1.088757324	-0.001244126	1.413283809	0.008285009	2.345133109	0.001242123
1.093592262	-0.000985856	1.418949315	0.008243612	2.354671747	0.001493724
1.098623704	-0.001246883	1.423427552	0.008222843	2.364203786	0.001736257
1.102011973	-0.002650742	1.430551303	0.009104152	2.373728596	0.001968837
1.106217765	-0.001199504	1.437678278	0.008446726	2.383245624	0.002190603
1.111482783	0.000464353	1.440604652	0.006146615	2.392754398	0.002400726
1.11803498	-0.001059755	1.447365459	0.008739615	2.402254541	0.002598405
1.120539243	-0.001290824	1.454155165	0.008551048	2.411745771	0.002782873
1.123144778	-0.001265412	1.459060692	0.008189865	2.421227919	0.002953396
1.130181096	-0.001100187	1.465383474	0.009078898	2.430700926	0.003109281
1.135103556	-0.001522302	1.46926714	0.007376645	2.440164859	0.00324987
1.138029407	-0.001142049	1.474985465	0.007759383	2.449619918	0.003374549
1.143737791	0.001143649	1.480118858	0.008362564	2.45906644	0.003482747
1.145773424	0.00029826	1.487173945	0.008311359	2.468504907	0.003573937
1.152641212	-0.001277267	1.492594746	0.007250812	2.477935956	0.00364764
1.156243195	0.000879539	1.498322519	0.007446118	2.487360382	0.003703426
1.162250006	-0.001385539	1.502970659	0.007397926	2.496779145	0.003740915
1.165541554	0.000264693	1.510336188	0.006196738	2.506193372	0.003759781
1.170575253	0.001244376	1.515439634	0.008448773	2.515604361	0.003759751
1.172448063	-0.000545011	1.521460908	0.006665636	2.525013581	0.00374061
1.176940619	0.001143656	1.526985177	0.007968277	2.53442267	0.0037022
1.182100647	0.001004024	1.531949909	0.007515984	2.543833434	0.003644423
1.18715455	-0.000478379	1.536902643	0.007361234	2.553247831	0.003567244
1.191642247	-0.001263494	1.543231796	0.006092186	2.562667968	0.003470691
1.193024549	0.001149395	1.54698004	0.006248655	2.572096078	0.003354858
1.198905256	0.002108188	1.554276914	0.007978683	2.581534499	0.003219907
1.202751284	0.000230326	1.560769043	0.004092808	2.590985647	0.003066069
