exp: x/lambda	exp: y/lambda	exp:z/lambda	theory: x/lambda	theory: y/lambda	theory: z/lambda								
-1.183874194	-0.000607317	0.033437388	-3.070667614	-1.81E-06	0.033333498								
-1.176999706	0.000497678	0.036008448	-3.061374308	-1.85E-06	0.033333501								
-1.167207108	-0.000522251	0.034791507	-3.052081002	-1.88E-06	0.033333505								
-1.158445656	0.001283031	0.033555098	-3.042787697	-1.92E-06	0.033333508								
-1.15235405	-0.001002594	0.032436262	-3.033494393	-1.95E-06	0.033333512								
-1.144564911	0.000847788	0.032933021	-3.024201089	-1.99E-06	0.033333516								
-1.136118493	0.000771184	0.033725953	-3.014907785	-2.02E-06	0.033333519								
-1.128730432	-0.000985005	0.031812674	-3.005614483	-2.06E-06	0.033333523								
-1.119547256	0.000455307	0.028395121	-2.99632118	-2.10E-06	0.033333527								
-1.111215635	0.000768801	0.025294477	-2.987027878	-2.14E-06	0.033333531								
-1.10358182	0.00047771	0.0267686	-2.977734577	-2.17E-06	0.033333535								
-1.095020628	0.000998651	0.027203466	-2.968441276	-2.21E-06	0.033333539								
-1.088259645	0.000704131	0.026924449	-2.959147976	-2.25E-06	0.033333543								
-1.079272094	0.000724708	0.026553544	-2.949854677	-2.29E-06	0.033333547								
-1.072632478	0.000216555	0.028617281	-2.940561378	-2.33E-06	0.033333551								
-1.063622055	0.001411356	0.03112849	-2.931268081	-2.37E-06	0.033333556								
-1.05456148	0.001396913	0.029787578	-2.921974784	-2.42E-06	0.03333356								
-1.046719737	0.000303897	0.02939052	-2.912681488	-2.46E-06	0.033333564								
-1.038975604	0.000933655	0.029900208	-2.903388193	-2.50E-06	0.033333569								
-1.030201487	0.000617366	0.030018638	-2.894094899	-2.55E-06	0.033333574								
-1.023271237	0.000339237	0.029243981	-2.884801605	-2.59E-06	0.033333579								
-1.013185017	-0.000275025	0.029712334	-2.875508313	-2.64E-06	0.033333583								
-1.007343224	0.000116099	0.031347303	-2.866215021	-2.68E-06	0.033333588								
-0.999230872	0.001669211	0.033617744	-2.856921731	-2.73E-06	0.033333593								
-0.989819632	0.001414101	0.035196279	-2.84762844	-2.78E-06	0.033333599								
-0.981614894	0.001539937	0.033351522	-2.838335151	-2.83E-06	0.033333604								
-0.973772374	0.001094572	0.031162618	-2.829041863	-2.88E-06	0.033333609								
-0.965065736	0.000333549	0.028507487	-2.819748576	-2.93E-06	0.033333615								
-0.95736553	0.000978069	0.030587717	-2.810455289	-2.98E-06	0.03333362								
-0.950451322	0.000689978	0.032476348	-2.801162004	-3.03E-06	0.033333626								
-0.940818011	0.000847973	0.030806696	-2.791868719	-3.09E-06	0.033333632								
-0.934518382	0.001500092	0.028492298	-2.782575437	-3.14E-06	0.033333638								
-0.924904005	0.002102431	0.024842109	-2.773282154	-3.19E-06	0.033333644								
-0.917660204	0.000498032	0.021981894	-2.763988873	-3.25E-06	0.03333365								
-0.909596177	0.001173297	0.024945457	-2.754695591	-3.31E-06	0.033333656								
-0.901327448	0.002189145	0.028386885	-2.745402311	-3.36E-06	0.033333662								
-0.891260651	0.000518774	0.030885684	-2.736109031	-3.42E-06	0.033333669								
-0.884059688	0.001741792	0.030567466	-2.726815753	-3.48E-06	0.033333675								
-0.876001576	0.000125542	0.028011935	-2.717522476	-3.54E-06	0.033333682								
-0.868301875	0.000874096	0.02557007	-2.7082292	-3.60E-06	0.033333689								
-0.861551301	0.002925371	0.024503283	-2.698935925	-3.66E-06	0.033333696								
-0.850720067	0.00263365	0.027967116	-2.689642652	-3.72E-06	0.033333703								
-0.843856614	0.001567468	0.029088526	-2.68034938	-3.79E-06	0.03333371								
-0.836778358	0.002111914	0.029804104	-2.671056109	-3.85E-06	0.033333718								
-0.829436241	0.000455529	0.030627006	-2.66176284	-3.92E-06	0.033333725								
-0.821301861	-0.000688702	0.032711169	-2.652469572	-3.99E-06	0.033333733								
-0.814066033	0.001371596	0.031267026	-2.643176306	-4.06E-06	0.033333741								
-0.803802924	0.00102701	0.024208731	-2.63388304	-4.13E-06	0.033333749								
-0.795994292	0.001044172	0.025581702	-2.624589776	-4.20E-06	0.033333757								
-0.787961746	0.000460937	0.027827384	-2.615296513	-4.27E-06	0.033333766								
-0.781320228	0.000837204	0.02991762	-2.606003252	-4.34E-06	0.033333774								
-0.772487534	0.001118785	0.033271029	-2.596709992	-4.42E-06	0.033333783								
-0.762902079	0.000273417	0.036014415	-2.587416734	-4.50E-06	0.033333792								
-0.75527655	-0.000269534	0.036472926	-2.578123477	-4.57E-06	0.033333801								
-0.749353349	0.000945971	0.036534338	-2.568830222	-4.65E-06	0.033333811								
-0.739354444	0.000866038	0.035709807	-2.559536967	-4.73E-06	0.03333382								
-0.731492464	0.001021437	0.033251893	-2.550243715	-4.81E-06	0.03333383								
-0.724593301	0.001897072	0.030695464	-2.540950465	-4.90E-06	0.03333384								
-0.714288477	0.00161401	0.030462814	-2.531657216	-4.98E-06	0.03333385								
-0.705986749	0.000632097	0.032642829	-2.522363969	-5.07E-06	0.03333386								
-0.698777874	0.001542907	0.033873939	-2.513070723	-5.15E-06	0.033333871								
-0.690821445	0.002181525	0.031465345	-2.503777478	-5.24E-06	0.033333881								
-0.682560507	0.000902716	0.029517588	-2.494484234	-5.33E-06	0.033333892								
-0.67628731	0.001782248	0.031688295	-2.485190993	-5.42E-06	0.033333903								
-0.667439667	0.000438131	0.029751779	-2.475897754	-5.51E-06	0.033333915								
-0.657725764	0.000951676	0.026919879	-2.466604515	-5.61E-06	0.033333926								
-0.650177356	-0.000902983	0.027143386	-2.457311281	-5.71E-06	0.033333938								
-0.640336042	0.000472489	0.032555609	-2.448018048	-5.80E-06	0.033333951								
-0.634607945	0.001983287	0.034536542	-2.438724817	-5.91E-06	0.033333963								
-0.623827239	0.002004713	0.037720292	-2.429431589	-6.01E-06	0.033333976								
-0.615561518	0.000910601	0.036384679	-2.420138363	-6.11E-06	0.033333989								
-0.60847952	0.001638059	0.035240336	-2.410845139	-6.22E-06	0.033334002								
-0.600885497	0.00229305	0.034013259	-2.401551918	-6.33E-06	0.033334016								
-0.592601349	0.000421791	0.032657554	-2.392258699	-6.44E-06	0.03333403								
-0.585149446	0.001095617	0.031997424	-2.382965481	-6.55E-06	0.033334044								
-0.577968596	0.001241376	0.031889677	-2.373672266	-6.67E-06	0.033334059								
-0.570516028	0.001258386	0.031777853	-2.364379054	-6.78E-06	0.033334074								
-0.560876666	-0.000310398	0.030278291	-2.355085844	-6.90E-06	0.033334089								
-0.552390259	0.000537632	0.028695055	-2.345792637	-7.02E-06	0.033334105								
-0.546356716	0.001423782	0.028973396	-2.336499433	-7.15E-06	0.033334121								
-0.538020432	0.001472287	0.031044797	-2.327206232	-7.27E-06	0.033334137								
-0.529435658	-0.000184959	0.030132375	-2.317913032	-7.40E-06	0.033334154								
-0.522116473	0.002167227	0.029354465	-2.308619836	-7.53E-06	0.033334171								
-0.51291016	0.001592033	0.029879142	-2.29932664	-7.66E-06	0.033334188								
-0.50530545	0.001392345	0.03173964	-2.290033451	-7.80E-06	0.033334206								
-0.497340897	0.000302155	0.030925817	-2.280740262	-7.94E-06	0.033334224								
-0.487898535	-0.000167523	0.030290061	-2.271447078	-8.08E-06	0.033334243								
-0.48179677	3.49225E-05	0.030350257	-2.262153895	-8.22E-06	0.033334262								
-0.470655152	0.000862646	0.030460173	-2.252860715	-8.36E-06	0.033334281								
-0.464211014	-0.000363961	0.029836935	-2.243567538	-8.51E-06	0.033334301								
