exp: x/lambda	exp: y/lambda	exp: z/lambda	theory: x/lambda	theory: y/lambda	theory: z/lambda
-0.255039985	0.000278298	0.034480564	-2.066992582	-7.49E-06	0.033334234
-0.244787656	0.000719858	0.034630859	-2.057699392	-7.62E-06	0.033334254
-0.238135863	-0.000702298	0.032987338	-2.048406205	-7.76E-06	0.033334274
-0.230745916	-5.23236E-05	0.031092849	-2.039113022	-7.91E-06	0.033334295
-0.218677938	0.000101181	0.033305513	-2.029819842	-8.05E-06	0.033334317
-0.212300055	0.000198926	0.037075613	-2.020526666	-8.20E-06	0.033334339
-0.204786322	-5.7125E-05	0.038662579	-2.011233493	-8.35E-06	0.033334361
-0.194133002	-0.000158547	0.033676883	-2.001940323	-8.51E-06	0.033334384
-0.186058249	-8.42493E-05	0.033950818	-1.992647158	-8.67E-06	0.033334408
-0.178810414	-0.002042429	0.037321842	-1.983353996	-8.83E-06	0.033334432
-0.17034947	-0.000172418	0.038232425	-1.974060838	-9.00E-06	0.033334457
-0.161838017	-0.000492273	0.036457699	-1.964767684	-9.17E-06	0.033334482
-0.153781794	-0.001772396	0.035598275	-1.955474535	-9.34E-06	0.033334508
-0.144339141	-0.000110155	0.035675664	-1.946181389	-9.52E-06	0.033334535
-0.13521453	-0.001004623	0.035666576	-1.936888248	-9.70E-06	0.033334563
-0.129850188	-0.002050775	0.035551751	-1.927595111	-9.88E-06	0.033334591
-0.120772189	-0.001643337	0.035800521	-1.918301979	-1.01E-05	0.03333462
-0.110142429	-0.001477094	0.036867567	-1.909008852	-1.03E-05	0.03333465
-0.101807899	-0.002069062	0.037830178	-1.899715729	-1.05E-05	0.03333468
-0.095326836	-0.001531938	0.037879127	-1.890422611	-1.07E-05	0.033334712
-0.087226049	-0.00227886	0.034904006	-1.881129499	-1.09E-05	0.033334744
-0.079549784	-0.002451212	0.030703531	-1.871836391	-1.11E-05	0.033334777
-0.068590879	-0.001278846	0.030670588	-1.862543289	-1.13E-05	0.033334811
-0.062241099	-0.003283281	0.032279456	-1.853250192	-1.15E-05	0.033334846
-0.053625909	-0.00293947	0.03319673	-1.843957101	-1.17E-05	0.033334882
-0.045782094	-0.001828668	0.03296618	-1.834664016	-1.20E-05	0.033334918
-0.036913139	-0.002452644	0.03484128	-1.825370936	-1.22E-05	0.033334956
-0.030555853	-0.001712252	0.036517835	-1.816077863	-1.24E-05	0.033334995
-0.02128808	-0.002715782	0.036274422	-1.806784795	-1.27E-05	0.033335035
-0.011502561	-0.001876698	0.034228743	-1.797491734	-1.29E-05	0.033335076
-0.003704001	-0.001550645	0.034078199	-1.78819868	-1.32E-05	0.033335118
0.003942872	-0.00190274	0.03528888	-1.778905632	-1.35E-05	0.033335161
0.012191373	-0.003781648	0.037489764	-1.769612592	-1.37E-05	0.033335206
0.021952221	-0.001631837	0.038872844	-1.760319558	-1.40E-05	0.033335252
0.028762727	0.00033585	0.038193673	-1.751026532	-1.43E-05	0.033335299
0.039080248	-0.002577203	0.037511101	-1.741733513	-1.46E-05	0.033335347
0.045108239	-0.001448441	0.038798111	-1.732440502	-1.49E-05	0.033335397
0.054608418	-0.001672192	0.041403113	-1.723147499	-1.52E-05	0.033335449
0.063135873	-0.001507205	0.040298851	-1.713854504	-1.55E-05	0.033335501
0.072795362	-0.002777105	0.038303645	-1.704561517	-1.58E-05	0.033335556
0.07914997	-0.002152064	0.040138637	-1.695268539	-1.61E-05	0.033335611
0.088199642	-0.001030369	0.042604848	-1.685975569	-1.64E-05	0.033335669
0.098351453	-0.001869036	0.040949788	-1.676682609	-1.68E-05	0.033335728
0.105369067	-0.003265445	0.039774435	-1.667389658	-1.71E-05	0.033335789
0.114131511	-0.001656377	0.039140058	-1.658096717	-1.75E-05	0.033335852
0.121853842	-0.001624784	0.038425341	-1.648803785	-1.79E-05	0.033335916
0.128916181	-0.001823431	0.03754049	-1.639510864	-1.82E-05	0.033335983
0.137606105	-0.002311632	0.039371638	-1.630217953	-1.86E-05	0.033336051
0.147709047	-0.000913018	0.046024146	-1.620925053	-1.90E-05	0.033336122
0.157091571	-0.000425312	0.047751226	-1.611632164	-1.94E-05	0.033336194
0.162224654	-0.000141166	0.046656515	-1.602339286	-1.98E-05	0.033336269
0.173630592	-3.57816E-05	0.043527843	-1.59304642	-2.02E-05	0.033336346
0.182530791	0.001969744	0.04255374	-1.583753566	-2.07E-05	0.033336426
0.18912645	0.000459984	0.042740665	-1.574460725	-2.11E-05	0.033336508
0.197392431	0.001079517	0.043623995	-1.565167896	-2.16E-05	0.033336592
0.207945381	-0.001769531	0.044371293	-1.555875081	-2.20E-05	0.03333668
0.213446472	0.000961186	0.044319927	-1.546582278	-2.25E-05	0.033336769
0.223416969	0.000865324	0.04412496	-1.53728949	-2.30E-05	0.033336862
0.228574481	0.000876942	0.044047661	-1.527996717	-2.35E-05	0.033336958
0.240838014	0.002260831	0.043418843	-1.518703958	-2.40E-05	0.033337056
0.249417474	0.003534419	0.042986746	-1.509411214	-2.46E-05	0.033337158
0.256727887	0.002123075	0.04340795	-1.500118486	-2.51E-05	0.033337263
0.265137217	0.003462333	0.044397247	-1.490825775	-2.57E-05	0.033337371
0.274713389	0.002638567	0.045166209	-1.48153308	-2.62E-05	0.033337483
0.28302351	0.002956997	0.045647681	-1.472240402	-2.68E-05	0.033337598
0.291569673	0.003956198	0.046663126	-1.462947742	-2.74E-05	0.033337718
0.299743993	0.005483177	0.046983051	-1.4536551	-2.80E-05	0.033337841
0.306818539	0.00396492	0.044498165	-1.444362477	-2.87E-05	0.033337968
0.317149706	0.002902682	0.040124005	-1.435069874	-2.93E-05	0.033338099
0.324549907	0.002905415	0.04113948	-1.42577729	-3.00E-05	0.033338235
0.333270352	0.005432956	0.044750718	-1.416484728	-3.07E-05	0.033338375
0.342872453	0.0040301	0.044351373	-1.407192186	-3.14E-05	0.03333852
0.349735046	0.007667157	0.041580568	-1.397899667	-3.21E-05	0.03333867
0.359660818	0.00628545	0.038158643	-1.38860717	-3.29E-05	0.033338824
0.36795851	0.004514726	0.037740206	-1.379314697	-3.36E-05	0.033338984
0.375888664	0.007649977	0.040252673	-1.370022249	-3.44E-05	0.03333915
0.384639726	0.005233378	0.043732372	-1.360729825	-3.52E-05	0.033339321
0.391305289	0.006174473	0.044380054	-1.351437427	-3.61E-05	0.033339498
0.401534085	0.004990785	0.044005952	-1.342145056	-3.69E-05	0.033339681
0.409377079	0.006724097	0.044172898	-1.332852712	-3.78E-05	0.033339871
0.419840409	0.005120954	0.042902012	-1.323560397	-3.87E-05	0.033340067
0.426443714	0.005321112	0.040553252	-1.314268111	-3.96E-05	0.03334027
0.436610084	0.00717376	0.038031542	-1.304975855	-4.06E-05	0.033340481
0.443338451	0.005921415	0.038618305	-1.295683631	-4.16E-05	0.033340698
0.451877426	0.007108594	0.04014749	-1.28639144	-4.26E-05	0.033340924
0.462393481	0.006219862	0.040473397	-1.277099281	-4.36E-05	0.033341158
0.468627143	0.006072264	0.039064785	-1.267807158	-4.47E-05	0.0333414
0.477953998	0.005951325	0.035721268	-1.258515071	-4.58E-05	0.033341651
